"Geographic Area Name (Grouping)","4/1/2010 Census population!!Population","4/1/2010 population estimates base!!Population","7/1/2010 population estimate!!Population","7/1/2011 population estimate!!Population","7/1/2012 population estimate!!Population","7/1/2013 population estimate!!Population","7/1/2014 population estimate!!Population","7/1/2015 population estimate!!Population","7/1/2016 population estimate!!Population","7/1/2017 population estimate!!Population","7/1/2018 population estimate!!Population","7/1/2019 population estimate!!Population"
"Janesville-Beloit, WI Metro Area","160,331","160,325","160,260","159,867","160,065","160,341","160,920","161,006","161,320","162,205","162,874","163,354"
"Jasper, AL Micro Area","67,023","67,020","66,997","66,585","66,104","65,777","65,338","64,931","64,533","63,895","63,669","63,521"
"Jasper, IN Micro Area","54,734","54,586","54,625","54,758","54,701","54,770","54,787","54,724","54,841","54,853","55,062","55,125"
"Jayuya, PR Micro Area","16,642","16,642","16,630","16,409","16,148","15,912","15,642","15,291","15,000","14,585","13,929","13,891"
"Jefferson, GA Micro Area","60,485","60,461","60,696","60,974","60,844","61,268","62,101","63,418","65,061","67,644","70,325","72,977"
"Jefferson City, MO Metro Area","149,807","149,820","149,991","150,413","150,391","150,669","150,727","150,928","151,375","151,319","151,512","151,235"
"Jennings, LA Micro Area","31,594","31,592","31,632","31,592","31,445","31,295","31,447","31,431","31,388","31,480","31,537","31,368"
"Jesup, GA Micro Area","30,099","30,097","30,074","30,294","30,320","29,990","29,891","29,430","29,974","29,797","29,810","29,927"
"Johnson City, TN Metro Area","198,716","198,757","199,010","199,574","200,473","200,470","200,021","200,331","201,457","201,909","202,900","203,649"
"Johnstown, PA Metro Area","143,679","143,695","143,461","142,579","141,536","138,826","137,537","136,028","134,414","132,960","131,449","130,192"
"Jonesboro, AR Metro Area","121,026","121,019","121,263","122,854","124,292","125,840","126,813","128,459","129,906","131,259","132,719","133,860"
"Joplin, MO Metro Area","175,518","175,509","175,833","173,846","174,407","175,144","175,869","176,686","177,397","178,239","178,613","179,564"
"Juneau, AK Micro Area","31,275","31,276","31,387","32,161","32,384","32,594","32,481","32,615","32,412","32,098","32,037","31,974"
"Kahului-Wailuku-Lahaina, HI Metro Area","154,834","154,840","155,020","156,936","158,889","161,004","163,036","163,904","165,350","166,146","166,972","167,417"
"Kalamazoo-Portage, MI Metro Area","250,331","250,327","250,751","252,600","255,353","257,311","258,951","259,676","261,304","262,998","264,680","265,066"
"Kalispell, MT Micro Area","90,928","90,927","90,864","91,270","91,597","92,935","94,567","95,839","97,742","100,091","102,017","103,806"
"Kankakee, IL Metro Area","113,449","113,450","113,418","113,519","112,974","112,735","111,883","111,750","111,080","110,540","109,953","109,862"
"Kansas City, MO-KS Metro Area","2,009,342","2,009,355","2,013,361","2,025,490","2,038,586","2,053,850","2,069,182","2,085,913","2,107,066","2,127,203","2,144,427","2,157,990"
"Kapaa, HI Micro Area","67,091","67,095","67,205","67,888","68,671","69,632","70,288","71,021","71,537","71,827","72,168","72,293"
"Kearney, NE Micro Area","52,591","52,588","52,652","53,371","54,145","54,485","54,787","55,136","55,665","55,842","55,891","56,154"
"Keene, NH Micro Area","77,117","77,122","77,058","76,933","76,902","76,712","76,426","76,288","75,975","75,963","75,901","76,085"
"Kendallville, IN Micro Area","47,536","47,538","47,454","47,294","47,190","47,240","47,367","47,515","47,398","47,329","47,543","47,744"
"Kennett, MO Micro Area","31,953","31,957","31,950","32,010","31,841","31,724","31,303","30,844","30,562","30,121","29,478","29,131"
"Kennewick-Richland, WA Metro Area","253,340","253,328","255,542","263,487","268,071","270,766","274,154","278,945","283,693","290,096","295,289","299,612"
"Kerrville, TX Micro Area","49,625","49,644","49,643","49,641","49,719","49,787","50,343","50,880","51,426","51,892","52,415","52,600"
"Ketchikan, AK Micro Area","13,477","13,526","13,573","13,674","13,729","13,722","13,802","13,702","13,707","13,834","13,856","13,901"
"Key West, FL Micro Area","73,090","73,090","73,220","73,967","74,560","75,813","76,261","76,648","76,872","76,483","74,757","74,228"
"Kill Devil Hills, NC Micro Area","33,920","33,920","33,982","34,156","34,383","34,810","34,894","35,468","35,829","36,199","36,607","37,009"
"Killeen-Temple, TX Metro Area","405,300","405,308","408,262","412,348","423,475","423,931","426,421","432,583","436,421","442,998","451,272","460,303"
"Kingsport-Bristol, TN-VA Metro Area","309,544","309,493","309,480","309,098","308,623","307,811","307,198","306,279","306,017","306,496","306,736","307,202"
"Kingston, NY Metro Area","182,493","182,519","182,418","182,448","181,538","180,698","180,400","179,658","179,042","178,635","178,418","177,573"
"Kingsville, TX Micro Area","32,477","32,474","32,454","32,467","32,544","32,459","32,328","31,854","31,740","31,179","31,159","31,084"
"Kinston, NC Micro Area","59,495","59,507","59,488","59,411","59,114","58,732","58,255","57,981","57,240","56,622","55,990","55,949"
"Kirksville, MO Micro Area","30,038","30,037","30,066","30,046","30,062","30,073","29,913","29,853","29,745","29,947","30,070","30,003"
"Klamath Falls, OR Micro Area","66,380","66,384","66,322","66,308","65,909","65,682","65,280","65,670","66,198","66,810","67,687","68,238"
"Knoxville, TN Metro Area","814,914","815,025","815,984","820,702","825,007","829,017","832,928","837,818","844,942","853,645","861,234","869,046"
"Kokomo, IN Metro Area","82,752","82,748","82,752","82,797","82,839","82,738","82,605","82,338","82,304","82,210","82,257","82,544"
"Laconia, NH Micro Area","60,088","60,075","60,101","60,335","60,438","60,235","60,285","60,370","60,747","60,872","61,145","61,303"
"La Crosse-Onalaska, WI-MN Metro Area","133,665","133,658","133,897","134,106","135,307","135,655","136,140","136,385","136,384","136,710","136,613","136,616"
"Lafayette, LA Metro Area","466,750","466,733","467,612","470,935","474,205","479,794","484,876","489,507","490,877","490,299","489,680","489,207"
"Lafayette-West Lafayette, IN Metro Area","210,297","210,310","210,687","213,230","216,449","219,183","221,445","223,573","227,088","228,101","230,938","233,002"
"La Grande, OR Micro Area","25,748","25,744","25,731","25,909","25,802","25,526","25,637","25,703","26,061","26,383","26,701","26,835"
"LaGrange, GA-AL Micro Area","101,259","101,209","101,176","101,662","102,386","102,940","103,255","103,591","103,684","103,769","103,678","103,176"
"Lake Charles, LA Metro Area","199,607","199,640","199,943","200,534","201,110","202,205","203,296","205,275","207,464","209,410","210,190","210,409"
"Lake City, FL Micro Area","67,531","67,526","67,553","67,317","67,884","67,417","67,779","68,222","69,265","69,999","70,668","71,686"
"Lake Havasu City-Kingman, AZ Metro Area","200,186","200,182","200,314","202,812","203,347","203,126","203,423","204,574","205,412","207,017","209,292","212,181"
"Lakeland-Winter Haven, FL Metro Area","602,095","602,073","603,102","609,948","615,453","622,633","634,398","648,523","665,823","685,368","706,597","724,777"
"Lamesa, TX Micro Area","13,833","13,833","13,826","13,747","13,611","13,219","13,445","12,987","12,999","12,744","12,605","12,728"
"Lancaster, PA Metro Area","519,445","519,443","520,319","523,957","526,878","530,012","533,289","535,811","538,160","541,332","543,969","545,724"
"Lansing-East Lansing, MI Metro Area","534,684","534,684","534,899","536,605","537,005","538,089","540,028","541,271","545,146","548,380","548,674","550,391"
"Laramie, WY Micro Area","36,299","36,299","36,469","36,851","37,359","37,556","37,620","37,960","37,923","38,459","38,728","38,880"
"Laredo, TX Metro Area","250,304","250,304","251,370","255,935","260,595","264,430","267,465","269,865","272,301","273,691","275,120","276,652"
"Las Cruces, NM Metro Area","209,233","209,217","210,097","213,126","214,450","214,288","213,933","214,034","214,663","216,174","217,278","218,195"
"Las Vegas, NM Micro Area","34,274","34,256","34,286","34,133","33,775","33,514","33,106","32,824","32,538","32,245","31,967","31,798"
"Las Vegas-Henderson-Paradise, NV Metro Area","1,951,269","1,951,268","1,952,587","1,961,925","1,989,224","2,017,193","2,053,134","2,096,717","2,138,836","2,181,635","2,226,115","2,266,715"
"Laurel, MS Micro Area","84,823","84,841","84,827","84,789","84,983","85,450","84,932","85,183","85,061","84,938","84,621","84,481"
"Laurinburg, NC Micro Area","36,157","36,160","36,062","36,275","36,093","35,911","35,656","35,321","35,309","35,174","34,751","34,823"
"Lawrence, KS Metro Area","110,826","110,826","111,198","112,479","113,313","114,713","116,445","118,141","119,662","120,281","121,109","122,259"
"Lawrenceburg, TN Micro Area","41,869","41,856","41,967","42,162","42,154","42,028","42,304","42,592","43,056","43,388","43,771","44,142"
"Lawton, OK Metro Area","130,291","130,288","131,569","132,255","132,696","131,113","130,909","130,011","127,676","127,649","126,348","126,415"
"Lebanon, MO Micro Area","35,571","35,596","35,700","35,668","35,482","35,654","35,530","35,469","35,450","35,418","35,596","35,723"
"Lebanon, NH-VT Micro Area","218,466","218,472","218,419","218,408","217,900","217,784","217,681","217,015","217,341","217,068","216,907","216,986"
"Lebanon, PA Metro Area","133,568","133,597","133,664","134,529","135,545","135,804","136,538","137,479","138,480","139,553","141,339","141,793"
"Levelland, TX Micro Area","22,935","22,927","22,853","22,931","23,074","23,408","23,463","23,310","23,043","22,977","22,971","23,021"
"Lewisburg, PA Micro Area","44,947","44,963","45,001","45,111","45,162","44,735","44,974","45,519","45,454","44,642","45,017","44,923"
"Lewisburg, TN Micro Area","30,617","30,611","30,687","30,848","30,971","31,140","31,287","31,590","32,035","33,020","33,806","34,375"
"Lewiston, ID-WA Metro Area","60,888","60,893","61,040","61,409","61,413","61,927","62,031","62,108","62,422","62,798","62,872","62,990"
"Lewiston-Auburn, ME Metro Area","107,702","107,709","107,708","107,439","107,486","107,223","107,358","107,124","107,296","107,399","107,914","108,277"
"Lewistown, PA Micro Area","46,682","46,679","46,641","46,747","46,754","46,629","46,490","46,427","46,316","46,290","46,211","46,138"
"Lexington, NE Micro Area","26,370","26,370","26,352","26,207","26,057","26,033","25,990","25,917","25,804","25,685","25,740","25,585"
"Lexington-Fayette, KY Metro Area","472,099","472,103","473,412","478,930","485,236","490,906","495,137","501,469","507,387","512,381","514,938","517,056"
"Liberal, KS Micro Area","22,952","22,950","22,970","23,128","23,353","23,311","23,303","23,273","22,897","22,245","21,902","21,428"
"Lima, OH Metro Area","106,331","106,313","106,358","105,988","105,244","105,055","104,848","104,095","103,613","103,093","102,725","102,351"
"Lincoln, IL Micro Area","30,305","30,305","30,283","30,270","30,358","29,826","29,660","29,284","29,166","29,034","28,912","28,618"
"Lincoln, NE Metro Area","302,157","302,157","302,961","306,619","310,328","314,103","319,634","323,090","327,409","330,975","333,800","336,374"
"Little Rock-North Little Rock-Conway, AR Metro Area","699,757","699,790","702,294","710,682","717,665","723,159","728,190","730,889","734,166","737,557","740,081","742,384"
"Lock Haven, PA Micro Area","39,238","39,253","39,263","39,511","39,734","39,831","39,486","39,400","39,017","38,830","38,696","38,632"
"Logan, UT-ID Metro Area","125,442","125,442","126,167","127,591","128,693","129,827","130,804","132,652","135,521","137,703","140,104","142,165"
"Logansport, IN Micro Area","38,966","38,970","38,985","38,916","38,771","38,585","38,487","38,081","37,905","37,828","37,895","37,689"
"London, KY Micro Area","148,099","148,099","148,227","148,682","148,314","148,395","148,351","148,467","148,283","148,086","148,149","148,123"
"Longview, TX Metro Area","280,000","280,007","280,487","282,427","283,056","282,589","283,219","283,767","283,641","284,602","285,315","286,657"
"Longview, WA Metro Area","102,410","102,408","102,358","102,309","101,663","101,483","101,790","102,999","104,740","106,805","108,752","110,593"
"Los Alamos, NM Micro Area","17,950","17,950","17,994","18,229","18,234","17,947","17,803","17,817","18,209","18,742","18,988","19,369"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","12,828,837","12,828,957","12,838,417","12,925,753","13,013,443","13,097,434","13,166,609","13,234,696","13,270,694","13,278,000","13,249,879","13,214,799"
"Louisville/Jefferson County, KY-IN Metro Area","1,202,718","1,202,686","1,204,655","1,211,869","1,220,183","1,232,178","1,239,354","1,246,231","1,252,525","1,259,553","1,262,023","1,265,108"
"Lubbock, TX Metro Area","290,805","290,889","292,241","295,338","297,793","301,167","306,056","310,001","313,780","317,094","319,239","322,257"
"Ludington, MI Micro Area","28,705","28,689","28,717","28,643","28,660","28,668","28,732","28,738","28,810","28,996","29,084","29,144"
"Lufkin, TX Micro Area","86,771","86,771","86,905","87,297","87,509","87,312","87,567","87,829","87,682","87,572","86,810","86,715"
"Lumberton, NC Micro Area","134,168","134,229","134,493","135,183","135,462","135,136","134,931","134,460","133,383","132,626","131,884","130,625"
"Lynchburg, VA Metro Area","252,634","252,654","252,969","254,190","255,725","256,832","257,953","259,447","260,537","261,813","262,893","263,566"
"Macomb, IL Micro Area","32,612","32,616","32,634","32,521","32,558","32,253","31,799","31,449","30,907","30,373","29,984","29,682"
"Macon-Bibb County, GA Metro Area","232,293","232,245","232,199","232,707","232,734","231,225","230,441","229,795","229,148","228,985","229,594","229,996"
"Madera, CA Metro Area","150,865","150,834","150,986","151,675","151,527","151,370","153,456","153,576","153,956","155,423","156,882","157,327"
"Madison, IN Micro Area","32,428","32,400","32,395","32,272","32,436","32,390","32,402","32,297","32,230","32,013","32,157","32,308"
"Madison, WI Metro Area","605,435","605,466","606,625","613,159","619,719","626,833","633,369","640,198","648,388","655,250","659,927","664,865"
"Madisonville, KY Micro Area","46,920","46,918","46,841","46,844","46,607","46,424","46,155","46,055","45,598","45,293","45,024","44,686"
"Magnolia, AR Micro Area","24,552","24,552","24,723","24,709","24,413","24,284","24,049","24,115","24,026","23,695","23,586","23,457"
"Malone, NY Micro Area","51,599","51,601","51,645","51,545","51,791","51,212","51,096","50,540","51,081","50,465","50,279","50,022"
"Malvern, AR Micro Area","32,923","33,011","33,231","33,142","33,507","33,528","33,409","33,497","33,438","33,606","33,672","33,771"
"Manchester-Nashua, NH Metro Area","400,721","400,706","401,055","402,774","404,344","405,281","407,275","408,985","411,333","413,204","414,630","417,025"
"Manhattan, KS Metro Area","127,081","127,094","128,521","130,746","137,731","136,294","135,665","136,989","134,000","131,667","131,698","130,285"
"Manitowoc, WI Micro Area","81,442","81,444","81,331","81,038","80,726","80,485","79,951","79,483","79,348","79,099","79,015","78,981"
"Mankato, MN Metro Area","96,740","96,742","96,844","97,325","97,994","97,718","98,670","99,199","100,075","100,968","101,577","101,927"
"Mansfield, OH Metro Area","124,475","124,474","124,162","123,144","122,633","122,314","121,999","121,688","121,242","120,430","120,987","121,154"
"Marietta, OH Micro Area","61,778","61,787","61,713","61,607","61,447","61,364","61,160","61,020","60,598","60,491","60,111","59,911"
"Marinette, WI-MI Micro Area","65,778","65,778","65,631","65,283","65,081","65,013","64,568","64,125","63,463","63,281","63,329","63,130"
"Marion, IN Micro Area","70,061","70,063","69,903","69,616","69,078","68,845","68,326","67,479","66,669","66,305","66,039","65,769"
"Marion, NC Micro Area","44,996","45,002","45,102","45,053","44,999","45,021","45,007","44,967","44,866","45,083","45,465","45,756"
"Marion, OH Micro Area","66,501","66,505","66,458","66,599","66,277","65,964","65,791","65,431","65,467","65,076","65,427","65,093"
"Marquette, MI Micro Area","67,077","67,071","67,078","67,455","67,826","67,773","67,771","67,326","66,532","66,493","66,381","66,699"
"Marshall, MN Micro Area","25,857","25,858","25,849","25,828","25,633","25,722","25,778","25,826","25,971","25,929","25,583","25,474"
"Marshall, MO Micro Area","23,370","23,370","23,420","23,406","23,544","23,355","23,398","23,226","23,095","22,910","22,890","22,761"
"Marshalltown, IA Micro Area","40,648","40,648","40,722","41,013","41,032","40,995","40,722","40,352","40,135","40,078","39,888","39,369"
"Martin, TN Micro Area","35,021","35,015","35,044","34,857","34,554","34,155","34,001","33,872","33,610","33,325","33,413","33,328"
"Martinsville, VA Micro Area","67,972","67,996","67,895","67,148","66,604","66,164","65,554","65,199","64,641","64,169","63,677","63,111"
"Maryville, MO Micro Area","23,370","23,373","23,401","23,433","23,327","23,151","22,981","22,625","22,455","22,401","22,223","22,092"
"Mason City, IA Micro Area","51,749","51,744","51,680","51,532","51,195","51,017","50,763","50,486","50,567","50,454","50,055","49,831"
"Mayagüez, PR Metro Area","116,211","116,211","115,929","113,915","111,845","109,938","107,458","105,048","102,580","99,742","95,378","94,975"
"Mayfield, KY Micro Area","37,121","37,151","37,262","37,613","37,566","37,406","37,583","37,248","37,217","37,190","37,319","37,266"
"Maysville, KY Micro Area","17,490","17,490","17,505","17,546","17,460","17,323","17,133","17,050","17,167","17,192","17,080","17,070"
"McAlester, OK Micro Area","45,837","45,827","45,795","45,717","45,544","45,267","44,847","44,716","44,335","44,154","43,870","43,654"
"McAllen-Edinburg-Mission, TX Metro Area","774,769","774,764","779,149","795,517","808,334","818,619","829,819","839,667","848,960","856,249","862,298","868,707"
"McComb, MS Micro Area","40,404","40,401","40,441","40,433","40,089","39,939","39,948","39,890","39,592","39,510","39,380","39,288"
"McMinnville, TN Micro Area","39,839","39,824","39,858","39,907","39,744","39,875","39,983","40,262","40,428","40,717","40,826","41,277"
"McPherson, KS Micro Area","29,180","29,186","29,128","29,154","29,221","29,415","28,896","28,648","28,429","28,687","28,528","28,542"
"Meadville, PA Micro Area","88,765","88,750","88,614","88,167","87,730","87,508","87,154","86,510","86,306","85,772","85,110","84,629"
"Medford, OR Metro Area","203,206","203,204","203,341","204,747","205,852","207,179","209,189","211,403","214,366","216,746","219,411","220,944"
"Memphis, TN-MS-AR Metro Area","1,316,100","1,316,102","1,317,489","1,323,741","1,331,396","1,332,114","1,333,432","1,334,790","1,336,204","1,338,582","1,342,497","1,346,045"
"Menomonie, WI Micro Area","43,857","43,865","43,887","43,800","43,806","44,046","44,075","44,267","44,354","44,714","45,091","45,368"
"Merced, CA Metro Area","255,793","255,796","256,721","259,297","260,867","262,026","264,419","266,353","267,628","271,096","274,151","277,680"
"Meridian, MS Micro Area","107,449","107,446","107,572","107,632","107,177","106,939","105,764","104,481","103,307","102,207","100,556","99,408"
"Mexico, MO Micro Area","25,529","25,531","25,453","25,527","25,524","25,545","25,816","25,950","25,870","25,590","25,423","25,388"
"Miami, OK Micro Area","31,848","31,848","31,859","31,869","32,181","32,163","31,929","31,862","31,592","31,368","31,319","31,127"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","5,564,635","5,566,274","5,583,394","5,668,271","5,745,743","5,822,754","5,893,858","5,969,135","6,055,686","6,118,155","6,143,837","6,166,488"
"Michigan City-La Porte, IN Metro Area","111,467","111,466","111,459","111,317","111,304","111,423","111,735","110,835","110,222","109,842","109,981","109,888"
"Middlesborough, KY Micro Area","28,691","28,691","28,709","28,658","28,284","28,031","27,826","27,370","27,204","26,863","26,487","26,032"
"Midland, MI Metro Area","83,629","83,621","83,651","83,805","83,721","83,651","83,492","83,662","83,422","83,314","83,223","83,156"
"Midland, TX Metro Area","141,671","141,671","141,783","145,108","152,312","157,628","162,187","167,974","169,466","170,849","178,186","182,603"
"Milledgeville, GA Micro Area","55,149","55,241","55,137","54,570","55,589","55,130","54,481","54,127","53,892","53,502","53,261","53,347"
"Milwaukee-Waukesha, WI Metro Area","1,555,908","1,555,954","1,556,678","1,561,296","1,567,248","1,571,732","1,575,002","1,576,496","1,576,004","1,574,444","1,573,995","1,575,179"
"Minden, LA Micro Area","41,207","41,207","41,199","41,244","40,908","40,660","40,285","40,061","39,751","39,264","38,792","38,340"
"Mineral Wells, TX Micro Area","28,111","28,132","28,095","28,062","27,867","27,886","28,041","27,966","28,125","28,544","28,874","29,189"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3,333,633","3,333,628","3,340,007","3,373,392","3,405,952","3,440,782","3,476,192","3,503,728","3,538,527","3,575,699","3,610,061","3,640,043"
"Minot, ND Micro Area","69,540","69,537","70,007","72,207","73,219","75,919","77,419","79,229","77,976","76,861","75,879","75,713"
"Missoula, MT Metro Area","109,299","109,296","109,467","110,245","111,042","111,900","112,801","114,122","116,349","117,834","118,640","119,600"
"Mitchell, SD Micro Area","22,835","22,836","22,812","23,094","23,332","23,343","23,388","23,303","23,394","23,279","23,148","23,228"
"Moberly, MO Micro Area","25,414","25,418","25,458","25,282","25,334","24,945","25,050","25,041","24,970","24,899","24,732","24,748"
"Mobile, AL Metro Area","430,573","430,719","430,941","430,423","430,962","430,815","431,017","431,294","431,566","430,567","430,310","429,536"
"Modesto, CA Metro Area","514,453","514,450","515,145","517,560","520,424","523,451","528,015","533,211","539,255","544,717","548,126","550,660"
"Monroe, LA Metro Area","204,420","204,487","204,675","204,886","205,151","205,454","205,570","205,668","205,319","203,894","202,138","200,261"
"Monroe, MI Metro Area","152,021","152,031","151,936","151,496","150,804","150,139","149,847","149,353","149,159","149,449","150,174","150,500"
"Montgomery, AL Metro Area","374,536","374,540","375,119","375,549","374,872","374,114","373,476","373,365","373,865","374,174","373,022","373,290"
"Montrose, CO Micro Area","45,712","45,718","45,642","45,397","45,157","45,101","45,159","45,170","45,940","46,566","47,028","47,710"
"Morehead City, NC Micro Area","66,469","66,463","66,700","67,418","67,770","68,388","68,629","68,712","68,808","68,921","69,438","69,473"
"Morgan City, LA Micro Area","54,650","54,647","54,550","54,187","53,562","53,581","53,273","52,876","52,069","50,708","49,841","49,348"
"Morgantown, WV Metro Area","129,709","129,702","130,308","132,678","134,813","135,948","137,396","138,523","139,403","139,608","139,204","139,044"
"Morristown, TN Metro Area","136,608","136,858","136,945","137,560","137,753","137,924","138,280","139,212","139,924","140,898","141,778","142,749"
"Moscow, ID Micro Area","37,244","37,243","37,255","37,855","38,094","38,220","38,517","38,796","39,050","39,741","39,829","40,108"
"Moses Lake, WA Micro Area","89,120","89,124","89,558","90,594","91,300","91,701","92,897","93,527","94,221","95,357","96,672","97,733"
"Moultrie, GA Micro Area","45,498","45,496","45,634","45,772","46,013","46,126","45,864","45,466","45,429","45,480","45,455","45,600"
"Mountain Home, AR Micro Area","41,513","41,511","41,510","41,349","41,080","40,983","40,888","41,138","41,131","41,308","41,624","41,932"
"Mountain Home, ID Micro Area","27,038","27,040","27,121","26,221","26,287","26,267","26,226","25,826","26,137","26,881","27,362","27,511"
"Mount Airy, NC Micro Area","73,673","73,749","73,775","73,496","73,295","72,643","72,487","71,998","72,008","72,107","71,959","71,783"
"Mount Gay-Shamrock, WV Micro Area","36,743","36,754","36,723","36,461","36,316","35,933","35,251","34,441","33,674","33,028","32,609","32,019"
"Mount Pleasant, MI Micro Area","70,311","70,313","70,294","70,615","70,666","70,224","70,094","70,767","71,263","71,077","70,463","69,872"
"Mount Pleasant, TX Micro Area","44,735","44,735","44,817","44,874","45,099","45,049","45,159","45,325","45,234","45,464","45,726","45,844"
"Mount Sterling, KY Micro Area","44,396","44,403","44,538","44,885","44,978","45,545","45,799","46,152","46,361","46,759","46,990","47,146"
"Mount Vernon, IL Micro Area","38,827","38,825","38,755","38,749","38,658","38,641","38,374","38,272","38,214","38,045","37,708","37,684"
"Mount Vernon, OH Micro Area","60,921","60,928","61,090","61,283","60,764","60,858","61,000","61,001","60,909","61,271","61,900","62,322"
"Mount Vernon-Anacortes, WA Metro Area","116,901","116,892","116,944","117,578","117,714","118,255","119,966","121,559","123,603","125,860","127,835","129,205"
"Muncie, IN Metro Area","117,671","117,670","117,665","117,901","117,027","116,831","116,487","115,767","115,657","115,246","114,297","114,135"
"Murray, KY Micro Area","37,191","37,190","37,348","37,667","38,046","38,425","38,452","38,656","38,733","38,832","38,964","39,001"
"Muscatine, IA Micro Area","42,745","42,803","42,803","42,842","42,916","43,010","43,028","43,068","42,968","42,872","42,874","42,664"
"Muskegon, MI Metro Area","172,188","172,194","171,913","170,026","170,159","172,273","172,254","172,447","173,227","173,645","173,599","173,566"
"Muskogee, OK Micro Area","70,990","70,997","71,129","70,763","70,529","70,172","69,725","69,319","69,012","69,027","68,324","67,997"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","376,722","376,575","378,343","385,650","393,299","403,705","416,065","431,198","447,337","463,514","480,985","496,901"
"Nacogdoches, TX Micro Area","64,524","64,524","64,685","65,655","65,866","65,193","65,240","65,462","65,549","65,317","65,161","65,204"
"Napa, CA Metro Area","136,484","136,535","136,759","137,691","138,538","139,580","140,405","140,862","140,840","139,878","138,789","137,744"
"Naples-Marco Island, FL Metro Area","321,520","321,522","322,581","327,629","332,233","338,987","347,211","356,041","365,445","372,678","378,201","384,902"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","1,646,200","1,646,183","1,650,831","1,674,534","1,703,609","1,735,012","1,768,350","1,804,671","1,841,294","1,874,515","1,904,726","1,934,317"
"Natchez, MS-LA Micro Area","53,119","53,122","53,413","53,277","52,692","52,611","52,551","51,789","51,539","51,308","50,630","49,952"
"Natchitoches, LA Micro Area","39,566","39,569","39,528","39,386","39,339","39,118","39,124","39,004","39,024","39,042","38,616","38,158"
"New Bern, NC Metro Area","126,802","126,808","127,423","128,135","128,409","127,172","126,778","125,371","124,985","124,703","124,584","124,284"
"Newberry, SC Micro Area","37,508","37,510","37,609","37,502","37,531","37,461","37,660","37,772","37,934","38,381","38,443","38,440"
"New Castle, IN Micro Area","49,462","49,466","49,530","49,216","49,112","48,843","48,886","48,655","48,345","48,170","48,131","47,972"
"New Castle, PA Micro Area","91,108","91,157","91,018","90,522","89,883","89,258","88,644","88,122","87,325","86,546","86,128","85,512"
"New Haven-Milford, CT Metro Area","862,477","862,442","863,357","863,871","864,566","862,820","862,885","860,186","857,901","857,748","856,971","854,757"
"New Orleans-Metairie, LA Metro Area","1,189,866","1,189,891","1,195,324","1,214,008","1,226,887","1,239,584","1,248,905","1,260,281","1,267,613","1,270,326","1,270,133","1,270,530"
"New Philadelphia-Dover, OH Micro Area","92,582","92,585","92,543","92,483","92,413","92,602","92,652","92,739","92,560","92,308","92,079","91,987"
"Newport, OR Micro Area","46,034","46,033","45,999","45,871","46,164","46,322","46,343","46,999","47,793","48,757","49,224","49,962"
"Newport, TN Micro Area","35,662","35,642","35,640","35,432","35,530","35,400","35,266","35,138","35,234","35,528","35,858","36,004"
"New Ulm, MN Micro Area","25,893","25,893","25,843","25,658","25,412","25,267","25,272","25,240","25,272","25,172","25,125","25,008"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","18,897,109","18,896,277","18,923,407","19,052,774","19,149,689","19,226,449","19,280,929","19,320,968","19,334,778","19,322,607","19,276,644","19,216,182"
"Niles, MI Metro Area","156,813","156,808","156,737","156,885","156,621","156,129","155,977","155,022","154,325","154,128","153,790","153,401"
"Nogales, AZ Micro Area","47,420","47,420","47,415","47,667","47,359","46,939","46,636","46,542","46,400","46,566","46,395","46,498"
"Norfolk, NE Micro Area","48,271","48,270","48,363","48,375","48,362","48,414","48,384","48,133","48,098","48,199","48,304","48,167"
"North Platte, NE Micro Area","37,590","37,590","37,561","37,360","37,267","37,241","36,925","36,781","36,782","36,523","36,393","36,156"
"North Port-Sarasota-Bradenton, FL Metro Area","702,281","702,312","703,354","709,775","720,281","731,796","747,228","767,309","788,341","805,186","820,716","836,995"
"North Vernon, IN Micro Area","28,525","28,529","28,481","28,155","28,145","28,227","27,916","27,834","27,648","27,652","27,679","27,735"
"North Wilkesboro, NC Micro Area","69,340","69,310","69,264","68,948","68,906","68,609","68,414","68,298","68,581","68,489","68,563","68,412"
"Norwalk, OH Micro Area","59,626","59,623","59,560","59,416","59,204","58,825","58,610","58,307","58,367","58,393","58,364","58,266"
"Norwich-New London, CT Metro Area","274,055","274,070","274,004","273,037","274,091","272,976","271,462","269,636","268,403","267,419","266,285","265,206"
"Oak Harbor, WA Micro Area","78,506","78,508","78,693","78,941","79,039","78,198","78,690","80,022","81,692","83,250","84,227","85,141"
"Ocala, FL Metro Area","331,298","331,299","331,331","332,286","333,873","335,083","338,005","342,182","347,469","353,339","359,062","365,579"
"Ocean City, NJ Metro Area","97,265","97,257","97,212","96,494","96,228","95,498","94,907","94,160","93,655","93,129","92,446","92,039"
"Odessa, TX Metro Area","137,130","137,136","137,075","139,642","144,495","149,656","154,588","159,903","157,858","156,951","161,960","166,223"
"Ogden-Clearfield, UT Metro Area","597,159","597,162","599,740","605,591","612,185","621,224","630,767","640,334","652,476","664,040","673,660","683,864"
