"Geographic Area Name (Grouping)","4/1/2010 Census population!!Population","4/1/2010 population estimates base!!Population","7/1/2010 population estimate!!Population","7/1/2011 population estimate!!Population","7/1/2012 population estimate!!Population","7/1/2013 population estimate!!Population","7/1/2014 population estimate!!Population","7/1/2015 population estimate!!Population","7/1/2016 population estimate!!Population","7/1/2017 population estimate!!Population","7/1/2018 population estimate!!Population","7/1/2019 population estimate!!Population"
"Sebastian-Vero Beach, FL Metro Area","138,028","138,028","138,270","139,103","140,473","141,895","144,445","147,434","151,159","154,241","157,187","159,923"
"Sebring-Avon Park, FL Metro Area","98,786","98,784","98,635","98,477","98,222","98,077","98,584","100,137","102,041","103,852","104,933","106,221"
"Sedalia, MO Micro Area","42,201","42,214","42,274","42,155","42,304","42,196","42,200","42,300","42,249","42,445","42,441","42,339"
"Selinsgrove, PA Micro Area","39,702","39,721","39,708","39,782","39,882","40,123","40,234","40,509","40,423","40,594","40,518","40,372"
"Selma, AL Micro Area","43,820","43,813","43,854","43,251","42,789","41,976","41,554","40,936","40,080","39,238","38,294","37,196"
"Seneca, SC Micro Area","74,273","74,285","74,348","74,252","74,551","74,937","75,219","75,863","76,535","77,388","78,307","79,546"
"Seneca Falls, NY Micro Area","35,251","35,248","35,266","35,380","35,388","35,250","34,879","34,801","34,710","34,246","34,179","34,016"
"Sevierville, TN Micro Area","89,889","89,720","89,923","91,192","92,362","93,477","94,660","95,417","96,470","97,307","97,895","98,250"
"Seymour, IN Micro Area","42,376","42,376","42,586","42,917","42,986","43,437","43,703","43,875","43,997","43,955","44,068","44,231"
"Shawano, WI Micro Area","46,181","46,187","46,208","46,043","45,872","45,792","45,852","45,560","45,479","45,445","45,366","45,455"
"Shawnee, OK Micro Area","69,442","69,443","69,650","70,059","70,512","70,906","71,535","71,479","72,001","72,185","72,513","72,592"
"Sheboygan, WI Metro Area","115,507","115,512","115,524","115,208","114,767","114,697","114,982","115,196","115,030","115,089","115,233","115,340"
"Shelby, NC Micro Area","98,078","98,032","97,917","97,442","97,317","96,873","97,009","96,850","96,960","97,134","97,519","97,947"
"Shelbyville, TN Micro Area","45,058","45,057","45,078","45,247","45,254","45,565","46,251","46,948","47,442","48,211","49,146","49,713"
"Shelton, WA Micro Area","60,699","60,689","60,733","60,870","60,681","60,474","60,604","60,991","62,142","63,740","65,380","66,768"
"Sheridan, WY Micro Area","29,116","29,124","29,148","29,251","29,524","29,733","29,852","29,883","29,964","30,147","30,219","30,485"
"Sherman-Denison, TX Metro Area","120,877","120,877","121,034","121,430","121,854","122,362","123,599","125,628","128,291","131,152","133,787","136,212"
"Show Low, AZ Micro Area","107,449","107,488","107,697","107,552","107,313","107,135","107,701","107,638","108,467","109,079","110,242","110,924"
"Shreveport-Bossier City, LA Metro Area","398,604","398,606","399,935","403,880","407,435","406,237","404,534","404,000","401,947","400,161","397,281","394,706"
"Sidney, OH Micro Area","49,423","49,455","49,349","49,259","49,159","49,203","48,995","49,030","48,765","48,738","48,622","48,590"
"Sierra Vista-Douglas, AZ Metro Area","131,346","131,359","131,822","133,097","132,017","129,578","127,314","126,454","125,686","124,864","126,411","125,922"
"Sikeston, MO Micro Area","39,191","39,199","39,261","39,147","39,161","39,207","38,868","39,007","38,760","38,576","38,541","38,280"
"Silver City, NM Micro Area","29,514","29,512","29,383","29,346","29,257","29,104","28,871","28,364","28,040","27,642","27,303","26,998"
"Sioux City, IA-NE-SD Metro Area","143,577","143,582","143,901","144,171","143,723","143,623","143,590","143,736","143,844","143,165","143,787","144,701"
"Sioux Falls, SD Metro Area","228,261","228,264","229,099","232,150","237,032","241,772","246,133","250,012","254,602","260,083","263,810","268,232"
"Snyder, TX Micro Area","16,921","16,919","16,928","16,868","17,125","17,272","17,377","17,570","17,394","17,003","16,812","16,703"
"Somerset, KY Micro Area","63,063","63,061","63,190","63,510","63,514","63,793","63,866","63,862","64,013","64,314","64,584","64,979"
"Somerset, PA Micro Area","77,742","77,731","77,759","77,274","77,012","76,587","76,146","75,383","74,860","74,242","73,872","73,447"
"Sonora, CA Micro Area","55,365","55,368","55,190","54,830","54,221","53,997","53,851","53,615","53,770","53,976","54,387","54,478"
"South Bend-Mishawaka, IN-MI Metro Area","319,224","319,203","319,044","318,884","318,296","318,639","319,410","319,703","321,144","321,538","322,697","323,613"
"Spartanburg, SC Metro Area","284,307","284,304","284,731","286,102","288,176","290,414","292,981","296,558","300,867","306,740","314,137","319,785"
"Spearfish, SD Micro Area","24,097","24,090","24,205","24,329","24,402","24,939","24,732","24,827","25,317","25,677","25,727","25,844"
"Spencer, IA Micro Area","16,667","16,667","16,634","16,597","16,539","16,438","16,484","16,498","16,295","16,141","16,106","16,016"
"Spirit Lake, IA Micro Area","16,667","16,667","16,670","16,859","16,925","16,878","16,840","17,004","17,109","17,141","17,121","17,258"
"Spokane-Spokane Valley, WA Metro Area","514,752","514,752","515,553","516,889","518,930","521,603","526,336","532,163","541,030","550,259","558,827","568,521"
"Springfield, IL Metro Area","210,170","210,170","210,465","211,736","212,095","211,713","211,692","211,254","210,424","209,365","207,928","206,868"
"Springfield, MA Metro Area","692,942","693,059","694,935","698,017","699,061","699,964","701,671","700,688","699,804","699,387","700,138","697,382"
"Springfield, MO Metro Area","436,712","436,756","437,349","440,432","444,329","448,427","451,556","455,593","457,917","462,090","466,273","470,300"
"Springfield, OH Metro Area","138,333","138,339","138,274","137,811","137,171","136,638","136,311","135,746","134,723","134,549","134,528","134,083"
"Starkville, MS Micro Area","57,924","57,921","57,991","57,956","58,910","59,052","59,056","59,383","59,292","59,410","59,037","59,276"
"State College, PA Metro Area","153,990","154,005","154,230","155,067","155,826","158,231","159,653","160,466","162,034","162,316","162,601","162,385"
"Statesboro, GA Micro Area","70,217","70,243","70,559","72,637","73,102","71,816","72,651","73,116","74,642","75,991","77,242","79,608"
"Staunton, VA Metro Area","118,502","118,496","118,314","118,774","118,463","119,110","119,469","120,019","120,747","121,744","122,628","123,120"
"Steamboat Springs, CO Micro Area","23,509","23,506","23,434","23,252","23,272","23,599","24,067","24,360","24,682","25,171","25,507","25,638"
"Stephenville, TX Micro Area","37,890","37,895","37,912","38,922","39,405","39,886","40,514","41,191","41,372","41,723","42,223","42,698"
"Sterling, CO Micro Area","22,709","22,709","22,750","22,577","22,356","22,174","22,440","22,472","22,435","22,317","22,268","22,409"
"Sterling, IL Micro Area","58,498","58,501","58,486","58,286","57,766","57,468","57,021","56,919","56,476","55,955","55,553","55,175"
"Stevens Point, WI Micro Area","70,019","70,021","70,024","70,088","70,425","70,518","70,528","70,520","70,451","70,565","70,850","70,772"
"Stillwater, OK Micro Area","77,350","77,347","77,416","78,238","78,725","79,698","80,520","81,363","81,850","81,908","82,172","81,784"
"Stockton, CA Metro Area","685,306","685,306","687,127","694,354","699,593","702,046","711,579","722,271","732,809","743,296","752,491","762,148"
"Storm Lake, IA Micro Area","20,260","20,265","20,356","20,311","20,561","20,649","20,606","20,374","20,325","20,144","19,826","19,620"
"Sturgis, MI Micro Area","61,295","61,303","61,288","61,068","60,992","60,989","61,015","60,804","60,790","60,710","60,912","60,964"
"Sulphur Springs, TX Micro Area","35,161","35,163","35,208","35,259","35,312","35,299","35,686","35,973","36,184","36,451","36,738","37,084"
"Summerville, GA Micro Area","26,015","26,022","25,959","25,685","25,627","25,049","24,861","24,905","24,836","24,746","24,782","24,789"
"Sumter, SC Metro Area","142,427","142,434","142,555","142,018","142,126","142,007","141,877","141,180","141,334","140,443","140,151","140,466"
"Sunbury, PA Micro Area","94,528","94,476","94,293","94,392","94,410","93,877","93,590","92,878","92,283","91,721","91,080","90,843"
"Susanville, CA Micro Area","34,895","34,895","34,831","34,246","33,629","32,129","31,664","31,256","30,721","30,920","30,618","30,573"
"Sweetwater, TX Micro Area","15,216","15,213","15,244","15,143","14,932","15,068","15,126","15,111","15,044","14,854","14,799","14,714"
"Syracuse, NY Metro Area","662,577","662,624","663,110","662,482","660,902","661,773","660,085","657,648","654,391","651,164","650,281","648,593"
"Tahlequah, OK Micro Area","46,987","46,992","47,126","47,702","47,989","47,870","48,240","48,376","48,791","48,891","48,607","48,657"
"Talladega-Sylacauga, AL Micro Area","82,291","82,353","82,172","81,863","82,146","81,578","81,512","81,128","80,552","80,142","80,137","79,978"
"Tallahassee, FL Metro Area","367,413","368,771","369,345","371,246","375,272","373,187","375,356","377,602","378,672","383,173","384,318","387,227"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","2,783,243","2,783,485","2,788,366","2,813,269","2,843,636","2,880,536","2,927,395","2,983,928","3,048,963","3,106,922","3,154,649","3,194,831"
"Taos, NM Micro Area","32,937","32,933","32,895","32,890","32,759","32,957","32,963","32,797","32,922","32,790","32,699","32,723"
"Taylorville, IL Micro Area","34,800","34,795","34,763","34,702","34,518","34,148","33,813","33,463","33,230","33,007","32,653","32,304"
"Terre Haute, IN Metro Area","189,764","189,774","189,523","189,541","189,555","189,089","188,240","187,365","187,241","186,846","186,726","186,367"
"Texarkana, TX-AR Metro Area","149,198","149,194","149,332","149,515","149,609","149,509","149,229","149,244","149,543","149,567","149,347","148,761"
"The Dalles, OR Micro Area","25,213","25,211","25,284","25,216","25,370","25,323","25,268","25,457","25,782","26,296","26,432","26,682"
"The Villages, FL Metro Area","93,420","93,420","94,278","97,975","101,669","106,898","112,236","117,076","122,009","124,995","128,719","132,420"
"Thomaston, GA Micro Area","27,153","27,149","27,054","26,920","26,562","26,421","26,161","26,231","26,245","26,201","26,185","26,320"
